% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ກະສິກອນ| ກະສິກອນ %
ກະສິກຳ| ກະສິກຳ %
ກະຫາຍ| ກະຫາຍ %
ກະເດັນ| ກະເດັນ %
ກະເປົ໋າ| ກະເປົ໋າ %
ກະເສດ| ກະເສດ %
ກະແຈ| ກະແຈ %
ກະແທກແດກດັນ| ກະແທກ~~ແດກ~~ດັນ %
ກະແສ| ກະ!ແສ %
ກະແສນິຍົມ| ກະແສ~~~ນິຍົມ %
ກະໂຈມ| ກະໂຈມ %
ກະໂດດ| ກະໂດດ %
ກະໜ່ຳ| ກະໜ່ຳ %
ກັກ| ກັກ %
ກັກຂັງ| ກັກຂັງ %
ກັກຕຸນ| ກັກ~~ຕຸນ %
ກັງວານ| ກັງວານ %
ກັງວົນ| ກັງວົນ %
ກັດ| ກັດ %
ກັດກິນ| ກັດ~~ກິນ %
ກັນ| ກັນ %
ກັນດານ| ກັນດານ %
ກັນດານອາຫານ| ກັນດານ~~~ອາຫານ %
ກັນແລະກັນ| ກັນ~~ແລະ~~ກັນ %
ກັບ| ກັບ %
ກັບດັກ| ກັບດັກ %
ກັບເມືອ| ກັບ~~ເມືອ %
ກັບໃຈ| ກັບ~ໃຈ %
ກັບໃຈໃໝ່| ກັບ~ໃຈ~~ໃໝ່ %
ກັ້ນ| ກັ້ນ %
ກາ| ກາ %
ກາງ| ກາງ %
ກາງຄືນ| ກາງ~~~ຄືນ %
ກາງເວັນ| ກາງ~~~ເວັນ %
ກາຍ| ກາຍ %
ກາຍຊາເຣຍ| ກາຍຊາເຣຍ % Caesarea
ກາຍເປັນ| ກາຍ~~~ເປັນ %
ກາດ| ກາດ %
ການ| ການ %
ການຊົງນຳ| ການ~~~~ຊົງ~~ນຳ %
ການາອານ| ການາອານ %
ກາບ| ກາບ %
ກາບກອນ| ກາບ~~ກອນ %
ກາມ| ກາມ %
ກາມາລົມ| ກາມາລົມ %
ກາຢະຟາ| ກາຢະຟາ % Caiaphas
ກາລຸສ| ກາລຸສ % name
ກາອິນ| ກາອິນ % Bible name
ກາເປນາອູມ| ກາເປນາອູມ %
ກາໂຕລິກ| ກາໂຕລິກ %
ກຳ| ກຳ %
ກຳຈັດ| ກຳຈັດ %
ກຳນົດ| ກຳນົດ %
ກຳບັງ| ກຳບັງ %
ກຳພ້າ| ກຳພ້າ %
ກຳມະກອນ| ກຳມະກອນ %
ກຳມະການ| ກຳມະການ %
ກຳມະຖັນ| ກຳມະຖັນ %
ກຳມະສິດ| ກຳມະສິດ %
ກຳມະຫຍີ່| ກຳມະຫຍີ່ %
ກຳມື| ກຳ~ມື %
ກຳລັງ| ກຳລັງ %
ກຳລັງພົນ| ກຳລັງ~~ພົນ %
ກຳລັງໃຈ| ກຳ~ລັງ~~ໃຈ %
ກຳເນີດ| ກຳເນີດ %
ກຳແພງ| ກຳແພງ %
ກຳໄລ| ກຳໄລ %
ກິດ| ກິດ %
ກິດຈະການ| ກິດຈະການ %
ກິດຈະກຳ| ກິດຈະກຳ %
ກິຕິຄຸນ| ກິຕິຄຸນ %
ກິນ| ກິນ %
ກິນບຸນສຸນທານ| ກິນ~~ບຸນ~ສຸນ!ທານ %
ກິນແໜງ| ກິນແໜງ %
ກິລາ| ກິລາ %
ກິເບໂອນ| ກິເບໂອນ %
ກິເລດ| ກິ!ເລດ %
ກິເລດຕັນຫາ| ກິເລດ~~~~ຕັນຫາ %
ກິໂລ| ກິໂລ %
ກິໂລກຼາມ| ກິໂລກຼາມ %
ກິໂລແມັດ| ກິໂລແມັດ %
ກິ່ງ| ກິ່ງ %
ກິ່ງກ້ານ| ກິ່ງ~~ກ້ານ %
ກິ່ນ| ກິ່ນ %
ກິ້ງ| ກິ້ງ %
ກິ້ງເກືອກ| ກິ້ງ~~ເກືອກ %
ກີກ| ກີກ %
ກີດ| ກີດ %
ກີດກັ້ນ| ກີດ~~ກັ້ນ %
ກີດຂວາງ| ກີດ~~ຂວາງ %
ກີບ| ກີບ %
ກີເດໂອນ| ກີເດໂອນ %
ກຶກກ້ອງ| ກຶກ~ກ້ອງ %
ກືກ| ກືກ %
ກືນ| ກືນ %
ກືນກິນ| ກືນ~~ກິນ %
ກຸມພາ| ກຸມພາ %
ກຸສົນ| ກຸສົນ %
ກຸສົນບຸນ| ກຸສົນບຸນ %
ກຸຫຼາບ| ກຸຫຼາບ %
ກຸ່ມ| ກຸ່ມ %
ກຸ້ມໃຈ| ກຸ້ມ~~ໃຈ %
ກູ| ກູ %
ກູ້| ກູ້ %
ກົກ| ກົກ %
ກົງ| ກົງ %
ກົງກັນຂ້າມ| ກົງ~ກັນ~~ຂ້າມ %
ກົດ| ກົດ %
ກົດຂີ່| ກົດ~~ຂີ່ %
ກົດຂີ່ຂົ່ມເຫັງ| ກົດ~~ຂີ່~~~ຂົ່ມ~~ເຫັງ %
ກົດດັນ| ກົດ~~ດັນ %
ກົດບັນຍັດ| ກົດ~~ບັນ!ຍັດ %
ກົດລະບຽບ| ກົດ~~ລະ!ບຽບ %
ກົດເກນ| ກົດ~~ເກນ %
ກົດໝາຍ| ກົດ~~ໝາຍ %
ກົນ| ກົນ %
ກົນລວງ| ກົນ~ລວງ %
ກົນລະຍຸດ| ກົນລະຍຸດ %
ກົນອຸບາຍ| ກົນ~~ອຸບາຍ %
ກົບ| ກົບ %
ກົມ| ກົມ %
ກົມກືນ| ກົມ~~ກືນ %
ກົມກຽວ| ກົມກຽວ %
ກົວ| ກົວ %
ກົ້ນ| ກົ້ນ %
ກົ້ມ| ກົ້ມ %
ກົ້ມກາບ| ກົ້ມ~~ກາບ %
ກຽງໄກ| ກຽງ~ໄກ %
ກຽດ| ກຽດ %
ກຽດຊັງ| ກຽດ~ຊັງ %
ກຽດຕິຍົດ| ກຽດຕິຍົດ %
ກຽມ| ກຽມ %
ກ່ອນ| ກ່ອນ %
ກ່ອມ| ກ່ອມ %
ກ່າວ| ກ່າວ %
ກ່າວຈາ| ກ່າວຈາ %
ກ່າວຫາ| ກ່າວ~ຫາ %
ກ່າວໂທດ| ກ່າວ~~~ໂທດ %
ກ່ຳ| ກ່ຳ %
ກ່ຽວ| ກ່ຽວ %
ກ່ຽວກັບ| ກ່ຽວ~ກັບ %
ກ່ຽວຂ້ອງ| ກ່ຽວ~ຂ້ອງ %
ກ້ອງ| ກ້ອງ %
ກ້ອຍ| ກ້ອຍ %
ກ້ອນ| ກ້ອນ %
ກ້ອນຫີນ| ກ້ອນ~~~ຫີນ %
ກ້ອນເມກ| ກ້ອນ~~~ເມກ %
ກ້າ| ກ້າ %
ກ້ານ| ກ້ານ %
ກ້ານຈົກ| ກ້ານ~ຈົກ %
ກ້າວ| ກ້າວ %
ກ້າວຍ່າງ| ກ້າວ~~ຍ່າງ %
ກ້າວລ້າວ| ກ້າວ~~ລ້າວ %
ກ້າວໜ້າ| ກ້າວ~~~ໜ້າ %
ກ້າຫານ| ກ້າ~~ຫານ %
ກ້ຳຂວາ| ກ້ຳ~~ຂວາ %
ກ້ຳຊ້າຍ| ກ້ຳ~~ຊ້າຍ %
ກ້ຽງ| ກ້ຽງ %
ກໍ| ກໍ %
ກໍຄື| ກໍ~~ຄື %
ກໍຄົງ| ກໍ~~ຄົງ %
ກໍຕາມ| ກໍ~~ຕາມ %
ກໍລະນີ| ກໍລະນີ %
ກໍ່| ກໍ່ %
ກໍ່ກວນ| ກໍ່~~ກວນ %
ກໍ່ສ້າງ| ກໍ່~~ສ້າງ %
ຂວດ| ຂວດ %
ຂວັນ| ຂວັນ %
ຂວາ| ຂວາ %
ຂວາກໜາມ| ຂວາກ~~ໜາມ %
ຂວາງ| ຂວາງ %
ຂວານ| ຂວານ %
ຂວ້ຳ| ຂວ້ຳ %
ຂອງ| ຂອງ %
ຂອບ| ຂອບ %
ຂອບຄຸນ| ຂອບ~~~ຄຸນ %
ຂອບພຣະຄຸນ| ຂອບ~~ພຣະ~ຄຸນ %
ຂອບຟ້າ| ຂອບ~~~~ຟ້າ %
ຂອບເຂດ| ຂອບ~~ເຂດ %
ຂອບໃຈ| ຂອບ~~ໃຈ %
ຂະຈັດ| ຂະຈັດ %
ຂະຈັດປັດເປົ່າ| ຂະຈັດ~~ປັດ~~ເປົ່າ %
ຂະນະ| ຂະນະ %
ຂະນະທີ່| ຂະນະ~ທີ່ %
ຂະນະນັ້ນ| ຂະນະ~ນັ້ນ %
ຂະນະນີ້| ຂະນະ~ນີ້ %
ຂະບວນ| ຂະບວນ %
ຂະບວນການ| ຂະບວນ­ການ % soft-hyphen
ຂະຫຍັນ| ຂະຫຍັນ %
ຂະຫຍັນຂັນແຂງ| ຂະຫຍັນ~~ຂັນ~ແຂງ %
ຂະຫຍັນໝັ່ນພຽນ| ຂະຫຍັນ~~ໝັ່ນ~~ພຽນ %
ຂະຫຍັບ| ຂະຫຍັບ %
ຂະຫຍາຍ| ຂະຫຍາຍ %
ຂະເຫຍືອງ| ຂະເຫຍືອງ %
ຂະໂມຍ| ຂະໂມຍ %
ຂະໜາດ| ຂະໜາດ %
ຂະໜານ| ຂະໜານ %
ຂະໜາບ| ຂະໜາບ %
ຂະໜາບປາບປາມ| ຂະໜາບ~~ປາບ~~ປາມ %
ຂະໝຸບຂະໝິບ| ຂະໝຸບ~~ຂະໝິບ %
ຂັງ| ຂັງ %
ຂັງຄຸກ| ຂັງ~~~ຄຸກ %
ຂັດ| ຂັດ %
ຂັດຂວາງ| ຂັດ~~ຂວາງ %
ຂັດຂືນ| ຂັດ~~ຂືນ %
ຂັດເກົາ| ຂັດ~ເກົາ %
ຂັດແຍ້ງ| ຂັດ~~ແຍ້ງ %
ຂັນ| ຂັນ %
ຂັນແຂງ| ຂັນ~ແຂງ %
ຂັບ| ຂັບ %
ຂັບຂານ| ຂັບ~~ຂານ %
ຂັບຮ້ອງ| ຂັບ~~ຮ້ອງ %
ຂັບໄລ່| ຂັບ~ໄລ່ %
ຂັບໄລ່ໄສສົ່ງ| ຂັບ~~ໄລ່~~ໄສ~ສົ່ງ %
ຂັ້ນ| ຂັ້ນ %
ຂັ້ນໄດ| ຂັ້ນໄດ %
ຂາ| ຂາ %
ຂາຍ| ຂາຍ %
ຂາດ| ຂາດ %
ຂາດເຂີນ| ຂາດ~ເຂີນ %
ຂາດແຄນ| ຂາດ~~ແຄນ %
ຂາບ| ຂາບ %
ຂາບໄຫວ້| ຂາບ~~ໄຫວ້ %
ຂາວ| ຂາວ %
ຂາວສະອາດ| ຂາວ~~ສະ!ອາດ %
ຂີດ| ຂີດ %
ຂີ່| ຂີ່ %
ຂີ້| ຂີ້ %
ຂີ້ຄ້ານ| ຂີ້!ຄ້ານ %
ຂີ້ຊາ| ຂີ້!ຊາ %
ຂີ້ດຽດ| ຂີ້ດຽດ %
ຂີ້ຕົວະ| ຂີ້!ຕົວະ %
ຂີ້ທູດ| ຂີ້!ທູດ %
ຂີ້ລັກ| ຂີ້!ລັກ %
ຂີ້ເລື່ອຍ| ຂີ້!ເລື່ອຍ %
ຂີ້ເຫຍື້ອ| ຂີ້!ເຫຍື້ອ %
ຂຶງ| ຂຶງ %
ຂຶ້ນ| ຂຶ້ນ %
ຂືນ| ຂືນ %
ຂືມ| ຂືມ %
ຂື່ນຂົມ| ຂື່ນຂົມ %
ຂຸດ| ຂຸດ %
ຂຸນນາງ| ຂຸນນາງ %
ຂຸມ| ຂຸມ %
ຂຸມນະຣົກ| ຂຸມນະຣົກ %
ຂຸ່ນ| ຂຸ່ນ %
ຂຸ່ນເຄືອງ| ຂຸ່ນ~ເຄືອງ %
ຂຸ່ນເຄືອງໃຈ| ຂຸ່ນ~~ເຄືອງ~~~ໃຈ %
ຂູດ| ຂູດ %
ຂູດຮີດ| ຂູດ~ຮີດ %
ຂູ່| ຂູ່ %
ຂົງເຂດ| ຂົງ~ເຂດ %
ຂົນ| ຂົນ %
ຂົມ| ຂົມ %
ຂົມຂື່ນ| ຂົມ!ຂື່ນ %
ຂົ່ມ| ຂົ່ມ %
ຂົ່ມຂູ່| ຂົ່ມ!ຂູ່ %
ຂົ່ມເຫັງ| ຂົ່ມ~~ເຫັງ %
ຂົ່ມໃຈ| ຂົ່ມ~~ໃຈ %
ຂົ້ວ| ຂົ້ວ %
ຂຽງ| ຂຽງ %
ຂຽດ| ຂຽດ %
ຂຽນ| ຂຽນ %
ຂຽວ| ຂຽວ %
ຂ່າຍ| ຂ່າຍ %
ຂ່າວ| ຂ່າວ %
ຂ່າວຄາວ| ຂ່າວ~~ຄາວ %
ຂ່າວປະເສີດ| ຂ່າວ~~ປະເສີດ %
ຂ່າວລື| ຂ່າວ~ລື %
ຂ້ອງໃຈ| ຂ້ອງ~~ໃຈ %
ຂ້ອຍ| ຂ້ອຍ %
ຂ້ອຍໃຊ້| ຂ້ອຍ~ໃຊ້ %
ຂ້ອນຂ້າງ| ຂ້ອນ~~ຂ້າງ %
ຂ້າ| ຂ້າ %
ຂ້າງ| ຂ້າງ %
ຂ້າທາດ| ຂ້າ~~ທາດ %
ຂ້ານ້ອຍ| ຂ້າ~~ນ້ອຍ %
ຂ້າພະເຈົ້າ| ຂ້າ­ພະ­ເຈົ້າ % soft-hyphen
ຂ້າຟັນ| ຂ້າ~~ຟັນ %
ຂ້າຟັນລັນແທງ| ຂ້າ~~ຟັນ~~ລັນ~~~ແທງ %
ຂ້າມ| ຂ້າມ %
ຂ້າຣາຊການ| ຂ້າ~ຣາ­ຊການ % soft-hyphen
ຂ້າຫຼວງ| ຂ້າ~ຫຼວງ %
ຂ້ຽນ| ຂ້ຽນ %
ຂ້ຽນຕີ| ຂ້ຽນ~~ຕີ %
ຂໍ| ຂໍ %
ຂໍທານ| ຂໍ~~ທານ %
ຂໍຮ້ອງ| ຂໍ~~ຮ້ອງ %
ຂໍ້| ຂໍ້ %
ຂໍ້ກຳນົດ| ຂໍ້~~ກຳນົດ %
ຂໍ້ກ່າວຫາ| ຂໍ້~~~ກ່າວ~~~ຫາ %
ຂໍ້ບັນຍັດ| ຂໍ້~~ບັນຍັດ %
ຂໍ້ບົກຜ່ອງ| ຂໍ້~~~ບົກຜ່ອງ %
ຂໍ້ຫາ| ຂໍ້ຫາ %
ຂໍ້ແມ້| ຂໍ້ແມ້ %
ຄຣິສ| ຄຣິສ %
ຄຣິສຕະການ| ຄຣິສ­ຕະການ % soft-hyphen
ຄຣິສຕະຈັກ| ຄຣິສ­ຕະຈັກ % soft-hyphen
ຄຣິສຕະພານິດ| ຄຣິສຕະ­ພານິດ % soft-hyphen
ຄຣິສຕະສາສະໜາ| ຄຣິສຕະ­ສາສະໜາ % soft-hyphen
ຄຣິສຕຽນ| ຄຣິສ­ຕຽນ % soft-hyphen
ຄວນ| ຄວນ %
ຄວນຄາງ| ຄວນ~~ຄາງ %
ຄວບຄຸມ| ຄວບ~~ຄຸມ %
ຄວບຄູ່| ຄວບຄູ່ %
ຄວັນ| ຄວັນ %
ຄວາຍ| ຄວາຍ %
ຄວາມ| ຄວາມ %
ຄວາມຄິດ| ຄວາມ~~~~ຄິດ %
ຄວາມທຸກ| ຄວາມ~~~~ທຸກ %
ຄວາມຢູ່ລອດ| ຄວາມ~~~~ຢູ່~~ລອດ %
ຄວາມເຊື່ອ| ຄວາມ~~~~ເຊື່ອ %
ຄວາມເຊື່ອຖື| ຄວາມ~~~~ເຊື່ອ~~ຖື %
ຄວາມເທັດ| ຄວາມ~~~~ເທັດ %
ຄວາມໝາຍ| ຄວາມ~~~~ໝາຍ %
ຄວ້າ| ຄວ້າ %
ຄອກ| ຄອກ %
ຄອງ| ຄອງ %
ຄອຍ| ຄອຍ %
ຄອດ| ຄອດ %
ຄອນ| ຄອນ %
ຄອນສະຕັນ| ຄອນສະຕັນ % Constance, name of city in Europe
ຄອນສະຕັນຕິນ| ຄອນສະຕັນຕິນ % Constantine, name
ຄອບຄອງ| ຄອບ~ຄອງ %
ຄອບຄຸມ| ຄອບ~ຄຸມ %
ຄອບຄົວ| ຄອບ~ຄົວ %
ຄອບງຳ| ຄອບ~ງຳ %
ຄະດີ| ຄະດີ %
ຄະຕິພົດ| ຄະຕິພົດ %
ຄະນະ| ຄະນະ %
ຄະນະກຳມະການ| ຄະນະ­ກຳມະການ % soft-hyphen
ຄະນະສົງ| ຄະນະສົງ %
ຄະນາຈານ| ຄະນາຈານ %
ຄະແນນ| ຄະແນນ %
ຄັກ| ຄັກ %
ຄັກແນ່| ຄັກ!ແນ່ %
ຄັງ| ຄັງ %
ຄັດ| ຄັດ %
ຄັດຄ້ານ| ຄັດ!ຄ້ານ %
ຄັດລອກ| ຄັດ~ລອກ %
ຄັດສັນ| ຄັດ!ສັນ %
ຄັນ| ຄັນ %
ຄັນຈ້ອງ| ຄັນ~ຈ້ອງ %
ຄັບ| ຄັບ %
ຄັບຂັນ| ຄັບຂັນ %
ຄັບຣີເອນ| ຄັບຣີເອນ %
ຄັບແຄບ| ຄັບ~~ແຄບ %
ຄັບແຄ້ນ| ຄັບ~~ແຄ້ນ %
ຄັ່ງ| ຄັ່ງ %
ຄັ່ງໄຄ້| ຄັ່ງໄຄ້ %
ຄັ້ງ| ຄັ້ງ %
ຄາ| ຄາ %
ຄາງ| ຄາງ %
ຄາຍ| ຄາຍ %
ຄາດ| ຄາດ %
ຄາດຄະເນ| ຄາດ~ຄະເນ %
ຄາດິນານ| ຄາດິນານ % Cardinal
ຄາດີນັນ| ຄາດີນັນ %
ຄາດເດົາ| ຄາດ~ເດົາ %
ຄາຕະກອນ| ຄາຕະກອນ %
ຄາຕະກຳ| ຄາຕະກຳ %
ຄາຖາ| ຄາຖາ %
ຄານ| ຄານ %
ຄານວາຣີ| ຄານວາຣີ % name
ຄາບ| ຄາບ %
ຄາລາເຕຍ| ຄາລາເຕຍ % Bible name
ຄາລີເລ| ຄາລີເລ %
ຄາວ| ຄາວ %
ຄາວິນ| ຄາວິນ %
ຄຳ| ຄຳ %
ຄຳຈົ່ມ| ຄຳ~~ຈົ່ມ %
ຄຳຕອບ| ຄຳ~~ຕອບ %
ຄຳຕັກເຕືອນ| ຄຳ~ຕັກ~ເຕືອນ %
ຄຳຕັດສິນ| ຄຳ~ຕັດສິນ %
ຄຳຖາມ| ຄຳ~~ຖາມ %
ຄຳທຳນວາຍ| ຄຳ~~ທຳນວາຍ %
ຄຳນວນ| ຄຳນວນ %
ຄຳນຶງ| ຄຳນຶງ %
ຄຳປະກາດ| ຄຳ~~ປະກາດ %
ຄຳພະຍາກອນ| ຄຳ~~ພະຍາກອນ %
ຄຳພະຍານ| ຄຳ~~ພະຍານ %
ຄຳພີ| ຄຳພີ %
ຄຳລາມ| ຄຳລາມ %
ຄຳສອນ| ຄຳ~~ສອນ %
ຄຳສັນຍາ| ຄຳ~ສັນຍາ %
ຄຳສັ່ງ| ຄຳ~~ສັ່ງ %
ຄຳສັ່ງສອນ| ຄຳ~~ສັ່ງ~ສອນ %
ຄຳສັ່ງເສຍ| ຄຳ~~ສັ່ງ~ເສຍ %
ຄຳສາບ| ຄຳ~~ສາບ %
ຄຳສາບານ| ຄຳ~~ສາບານ %
ຄຳສາບແຊ່ງ| ຄຳ~ສາບ~ແຊ່ງ %
ຄຳອຸປະມາ| ຄຳ~~~ອຸປະມາ %
ຄຳແນະນຳ| ຄຳ~~ແນະ~ນຳ %
ຄິດ| ຄິດ %
ຄິດຄົ້ນ| ຄິດ~~ຄົ້ນ %
ຄິດເຖິງ| ຄິດ~~ເຖິງ %
ຄິດເຫັນ| ຄິດ~~ເຫັນ %
ຄີງ| ຄີງ %
ຄຶກຄະນອງ| ຄຶກ~ຄະນອງ %
ຄຶງ| ຄຶງ %
ຄຶດ| ຄຶດ %
ຄື| ຄື %
ຄືກັບ| ຄື~~ກັບ %
ຄືນ| ຄືນ %
ຄືນດີ| ຄືນ~~ດີ %
ຄືບ| ຄືບ %
ຄືບຄານ| ຄືບ~~ຄານ %
ຄືເກົ່າ| ຄື~~ເກົ່າ %
ຄື້ນ| ຄື້ນ %
ຄຸ| ຄຸ %| ຄຸ| ຄຸ % %
ຄຸກ| ຄຸກ %
ຄຸກຄາມ| ຄຸກ~ຄາມ %
ຄຸນ| ຄຸນ %
ຄຸນຄວາມດີ| ຄຸນ~~ຄວາມ~~~ດີ %
ຄຸນຄ່າ| ຄຸນ~~ຄ່າ %
ຄຸນງາມຄວາມດີ| ຄຸນ~~ງາມ~~ຄວາມ~~~ດີ %
ຄຸນນະທຳ| ຄຸນນະທຳ %
ຄຸນນະພາບ| ຄຸນນະພາບ %
ຄຸນນະລັກສະນະ| ຄຸນນະ­ລັກສະນະ %  soft-hyphen
ຄຸນນະສົມບັດ| ຄຸນນະສົມບັດ %
ຄຸມ| ຄຸມ %
ຄຸມຂັງ| ຄຸມ~ຂັງ %
ຄຸ້ນ| ຄຸ້ນ %
ຄຸ້ນເຄີຍ| ຄຸ້ນ~~ເຄີຍ %
ຄຸ້ມ| ຄຸ້ມ %
ຄຸ້ມຄອງ| ຄຸ້ມ~ຄອງ %
ຄູ| ຄູ %
ຄູນ| ຄູນ %
ຄູ່| ຄູ່ %
ຄູ່ຕໍ່ສູ້| ຄູ່~~ຕໍ່~ສູ້ %
ຄູ້ເຂົ່າ| ຄູ້~~ເຂົ່າ %
ຄົງ| ຄົງ %
ຄົດ| ຄົດ %
ຄົດງໍ| ຄົດ~ງໍ %
ຄົນ| ຄົນ %
ຄົນກາງ| ຄົນ~ກາງ %
ຄົນຊົ່ວ| ຄົນ~~~ຊົ່ວ %
ຄົນບ້າ| ຄົນ~~~ບ້າ %
ຄົນຢິວ| ຄົນ~~~ຢິວ %
ຄົນແປກໜ້າ| ຄົນ~~~ແປກ~~ໜ້າ %
ຄົບ| ຄົບ %
ຄົບຄ້າ| ຄົບ~~ຄ້າ %
ຄົມ| ຄົມ %
ຄົວເຮືອນ| ຄົວ~~ເຮືອນ %
ຄົ້ນ| ຄົ້ນ %
ຄົ້ນຄວ້າ| ຄົ້ນ~~ຄວ້າ %
ຄົ້ນພົບ| ຄົ້ນ~~ພົບ %
ຄົ້ບຖ້ວນ| ຄົ້ບ~ຖ້ວນ %
ຄຽງ| ຄຽງ %
ຄຽງຂ້າງ| ຄຽງ~~ຂ້າງ %
ຄຽດ| ຄຽດ %
ຄຽດແຄ້ນ| ຄຽດ~~ແຄ້ນ %
ຄ່ອງ| ຄ່ອງ %
ຄ່ອງແຄ້ວ| ຄ່ອງແຄ້ວ %  fluent (ຄ່ອງແຄ່ວ is incorrect (see Bible)
ຄ່ອຍ| ຄ່ອຍ %
ຄ່າ| ຄ່າ %
ຄ່າຈ້າງ| ຄ່າ~ຈ້າງ %
ຄ່ຳ| ຄ່ຳ %
ຄ່ຳຄວນ| ຄ່ຳ~~ຄວນ %
ຄ່ຳຄືນ| ຄ່ຳ~~ຄືນ %
ຄ້ອຍ| ຄ້ອຍ %
ຄ້ອນ| ຄ້ອນ %
ຄ້າ| ຄ້າ %
ຄ້າຂາຍ| ຄ້າ~~ຂາຍ %
ຄ້າງ| ຄ້າງ %
ຄ້າຍ| ຄ້າຍ %
ຄ້າຍຄື| ຄ້າຍ~ຄື %
ຄ້ານ| ຄ້ານ %
ຄ້ຳຈູນ| ຄ້ຳຈູນ %
ຄ້ຳຊູ| ຄ້ຳຊູ %
ຄໍ| ຄໍ %
ງວດ| ງວດ %
ງວາມ| ງວາມ %
ງອກ| ງອກ %
ງານ| ງານ %
ງານສະຫຼອງ| ງານ~~~~ສະຫຼອງ %
ງາມ| ງາມ %
ງາມວິໄລ| ງາມວິໄລ %
ງຶດງໍ້| ງຶດ~ງໍ້ %
ງຸນງົງ| ງຸນງົງ %
ງຸ່ມງ່າມ| ງຸ່ມ~ງ່າມ %
ງູ| ງູ %
ງົງ| ງົງ %
ງົງງັນ| ງົງ~ງັນ %
ງົດ| ງົດ %
ງົດງາມ| ງົດ~ງາມ %
ງົບ| ງົບ %
ງົບປະມານ| ງົບ~~ປະມານ %
ງົມງວາຍ| ງົມ~~ງວາຍ %
ງົວ| ງົວ %
ງຽບ| ງຽບ %
ງ່ວງ| ງ່ວງ %
ງ່ວງຊຶມ| ງ່ວງ~~ຊຶມ %
ງ່າຍ| ງ່າຍ %
ງ່າຍດາຍ| ງ່າຍ~ດາຍ %
ງ່າໄມ້| ງ່າ~~ໄມ້ %
ຈວຍ| ຈວຍ %
ຈວນ| ຈວນ %
ຈອກ| ຈອກ %
ຈອງຈຳ| ຈອງຈຳ %
ຈອງຫອງ| ຈອງ~ຫອງ %
ຈອດ| ຈອດ %
ຈອດຈ໌| ຈອດຈ໌ %
ຈອນ| ຈອນ %
ຈອນ\cs{}ຟັອກ| ຈອນ\cs{}ຟັອກ %
ຈອນ\cs{}ຮັສ| ຈອນ\cs{}ຮັສ %
