# entry	joined	sites	hits elsewhere	first page	confidence
ชาววอล-เดนซิส	ชาววอลเดนซิส	1	25	p64	confirmed elsewhere in the book
คาล-วารี	คาลวารี	1	23	p19	confirmed elsewhere in the book
ผู้-แทนของพระ	ผู้แทนของพระ	1	23	p128	confirmed elsewhere in the book
คร่ำ-ครวญ	คร่ำครวญ	1	21	p176	confirmed elsewhere in the book
อง-ซึ	องซึ	1	20	p133	confirmed elsewhere in the book
จุด-ประสงค์	จุดประสงค์	1	20	p335	confirmed elsewhere in the book
ศาสนา-จารย์	ศาสนาจารย์	1	20	p361	confirmed elsewhere in the book
สวิส-เซอร์แลนด	สวิสเซอร์แลนด	1	19	p214	confirmed elsewhere in the book
ลา-เด	ลาเด	1	19	p347	confirmed elsewhere in the book
ทะเยอ-ทะยาน	ทะเยอทะยาน	1	17	p297	confirmed elsewhere in the book
าร-ทา	ารทา	1	17	p314	confirmed elsewhere in the book
ญา-นา	ญานา	1	16	p265	confirmed elsewhere in the book
วิทยา-ศาสตร์	วิทยาศาสตร์	1	16	p504	confirmed elsewhere in the book
ตราก-ตรำ	ตรากตรำ	1	15	p116	confirmed elsewhere in the book
ระเทศสวิส-เซอร์แลนด	ระเทศสวิสเซอร์แลนด	1	15	p170	confirmed elsewhere in the book
ร์ดิ-นั	ร์ดินั	1	15	p196	confirmed elsewhere in the book
อต-แลนด์	อตแลนด์	1	15	p292	confirmed elsewhere in the book
ที่เกี่ยว-ข้องกับ	ที่เกี่ยวข้องกับ	1	15	p314	confirmed elsewhere in the book
เบอร์-ควิน	เบอร์ควิน	1	14	p207	confirmed elsewhere in the book
กระจัด-กระจาย	กระจัดกระจาย	1	13	p210	confirmed elsewhere in the book
จริย-ธรรม	จริยธรรม	1	12	p116	confirmed elsewhere in the book
คอน-แวนต์	คอนแวนต์	1	12	p146	confirmed elsewhere in the book
เหน็ด-เหนื่อย	เหน็ดเหนื่อย	1	12	p301	confirmed elsewhere in the book
คอน-สแตน	คอนสแตน	1	12	p548	confirmed elsewhere in the book
เดือด-ดาล	เดือดดาล	1	11	p155	confirmed elsewhere in the book
อาณา-นิคม	อาณานิคม	1	11	p285	confirmed elsewhere in the book
เปรอะ-เปื้อน	เปรอะเปื้อน	1	9	p457	confirmed elsewhere in the book
อีโคลัมพา-เดียส	อีโคลัมพาเดียส	1	7	p234	confirmed elsewhere in the book
เจ้า-พนักงานฝ่	เจ้าพนักงานฝ่	1	7	p283	confirmed elsewhere in the book
ศิษยา-ภิบาล	ศิษยาภิบาล	1	6	p69	confirmed elsewhere in the book
เจ้า-หญิง	เจ้าหญิง	1	6	p213	confirmed elsewhere in the book
หา-อำนาจ	หาอำนาจ	1	6	p225	confirmed elsewhere in the book
ตน-ติ	ตนติ	1	6	p322	confirmed elsewhere in the book
เล็กเตอร์-เฟรเดอริค	เล็กเตอร์เฟรเดอริค	1	4	p190	confirmed elsewhere in the book
พระบรม-ราช	พระบรมราช	1	4	p193	confirmed elsewhere in the book
ัน-หย	ันหย	1	4	p251	confirmed elsewhere in the book
ไร้มนุษย-ธรรม	ไร้มนุษยธรรม	1	3	p81	confirmed elsewhere in the book
ประชา-ราษฎร์	ประชาราษฎร์	1	3	p209	confirmed elsewhere in the book
ของสาธารณ-รัฐ	ของสาธารณรัฐ	1	3	p279	confirmed elsewhere in the book
นิว-อิงแลนด์	นิวอิงแลนด์	1	3	p284	confirmed elsewhere in the book
่อ-บ้า	่อบ้า	1	3	p295	confirmed elsewhere in the book
นา-ธิ	นาธิ	1	3	p347	confirmed elsewhere in the book
พันธ-กิจของพระ	พันธกิจของพระ	1	3	p494	confirmed elsewhere in the book
ฟลา-เวล	ฟลาเวล	1	2	p243	confirmed elsewhere in the book
การสำมะเล-เทเมาและก	การสำมะเลเทเมาและก	1	2	p264	confirmed elsewhere in the book
ฐานันดร-ศักดิ์	ฐานันดรศักดิ์	1	2	p267	confirmed elsewhere in the book
รัฐแมสซา-ชูเซตส์เ	รัฐแมสซาชูเซตส์เ	1	2	p284	confirmed elsewhere in the book
เมืองปอค-ฮารา	เมืองปอคฮารา	1	2	p348	confirmed elsewhere in the book
ใจ-เหมือนเ	ใจเหมือนเ	1	2	p351	confirmed elsewhere in the book
เซนนา-เคอริบ	เซนนาเคอริบ	1	2	p493	confirmed elsewhere in the book
อาร์ค-บิชอปแ	อาร์คบิชอปแ	1	2	p539	confirmed elsewhere in the book
คริสต-อาณาจักร	คริสตอาณาจักร	1	2	p588	confirmed elsewhere in the book
สัมพันธ-ภาพ	สัมพันธภาพ	1	2	p626	confirmed elsewhere in the book
นักขัต-ฤกษ์	นักขัตฤกษ์	1	0	p53	the word occurs once in the book, so a reader supplied the boundary
คริสตธรรม-กิตติคุณ	คริสตธรรมกิตติคุณ	1	0	p69	the word occurs once in the book, so a reader supplied the boundary
อสังหา-ริมทรัพย์	อสังหาริมทรัพย์	1	0	p99	the word occurs once in the book, so a reader supplied the boundary
วิทเทม-บาก	วิทเทมบาก	1	0	p165	the word occurs once in the book, so a reader supplied the boundary
พระราช-ชนนี	พระราชชนนี	1	0	p205	the word occurs once in the book, so a reader supplied the boundary
กรีน-แลนด์	กรีนแลนด์	1	0	p293	the word occurs once in the book, so a reader supplied the boundary
คอนเนต-ทิกัต	คอนเนตทิกัต	1	0	p296	the word occurs once in the book, so a reader supplied the boundary
