# Thai Glossary — shared by every Thai project (PP, SC, SJ, MB, PK, ...)

<!-- Being built. A row enters this file only after the translator adjudicates it, chunk by chunk, from mining runs over th/MB and th/PP, whose published chapters (MB, PP 1–20) are the strong precedent; SC chapters supply the questions. Conventions follow lo/GC/04_assets/translation_profile/GC-glossary.txt: a row is silent until its Notes cell carries [CHECK] (enforce: report English present, Thai absent) or [FLAG] (report every occurrence); a bare Notes cell is reference only; '/' in the Thai cell means any listed option satisfies a [CHECK]. A Notes cell carries at most 15 words of prose, refs excluded, on one line. A Notes cell may name wordings that stand when found and are never proposed. -->

## 1. Theological and historical terms

| English | Thai | Notes |
| iniquity | ความผิดบาป / ความชั่วร้าย / ความชั่ว / ความอธรรม / ความชั่วช้า / ความบาป | [CHECK] Guilt borne or pardoned ความผิดบาป; prevailing wickedness ความชั่วร้าย, ความชั่ว; lawlessness ความอธรรม; depravity ความชั่วช้า. PP 138.4, PP 166.4, PP 67.3, PP 92.1 |
| Saviour | พระผู้ช่วยให้รอด / องค์พระผู้ช่วยให้รอด | [CHECK] The name may replace the title. PP 68.2, MB 75.1 |
| anointing (of Christ) | ทรงเจิม / เจิมตั้ง / การเจิม / ผู้รับการเจิม | [CHECK] The versions' verb for God anointing Christ; Lao GC uses ເຈີມຕັ້ງ. กิจการ 10:38, SC 11.2 |
| propitiation, atoning sacrifice, expiate | เครื่องบูชาไถ่บาป / เครื่องบูชาลบบาป / ลบล้างความบาป / ชดใช้ | [CHECK] The two nouns first; ลบล้างความบาป and ชดใช้ are verb reworkings. SC 13.2, PP 279.1, PP 63.2 |
| atonement, atoning | ลบมลทินบาป / ลบล้างบาป / การทรงไถ่ / คืนดี | [CHECK] Priestly act ลบมลทินบาป; the provision as a whole การทรงไถ่; reconciliation คืนดี; ฮีบรู 2:17 ลบล้างบาป. PP 500.2, PP 67.2, PP 178.2 |
| Day of Atonement | วันลบมลทินบาป | [CHECK] The Thai Adventist name; the versions write วันลบมลทิน, วันทำการลบมลทิน, วันลบบาป. เลวีนิติ 23:27, PP 355.2 |
| mercy seat | พระที่นั่งกรุณา | [CHECK] THSV at all 22 verses and TKJV ฮีบรู 9:5; never พระที่นั่งกรุณาธิคุณ, the throne of grace. PP 348.3 |
| reconcile, reconciliation | คืนดี | [CHECK] All four versions, โรม 5:10–11, 2 โครินธ์ 5:18–20; a secular reconcile may recast. MB 115.1, PP 114.1 |
| Substitute and Surety (Christ's paired title) | ผู้ทรงรับโทษแทนและเป็นผู้ค้ำประกันให้เรา | [CHECK] SC 14.1, PP 366.1 |
| Substitute (Christ, in our stead) | รับโทษแทน / ตายแทน / สิ้นพระชนม์แทน / ผู้รับโทษแทน | [CHECK] Penal substitution; the person replaced follows แทน; never ตัวแทน or ผู้แทน, which mean agent. SC 14.1, SC 31.2, PP 366.1 |
| Surety (Christ) | ผู้ค้ำประกัน / นายประกัน | [CHECK] Takes ให้เรา or ของเรา; ผู้ค้ำประกัน is THSV and TNCV's at ฮีบรู 7:22. MB 8.2, SC 14.1 |
| fallen (race, man, men, world, souls, humanity) | ตกสู่ความบาป / ตกอยู่ในความบาป / หลงผิด / หลงในความบาป / จมอยู่ในความบาป | [CHECK] Event ตกสู่; state ตกอยู่ใน; astray หลง; sunk จม. A recast stands once the fall is told. PP 63.2, SC 21.1, PP 62.2, SC 14.3 |
| the Fall, fall of man (the event) | ตกสู่ความบาป / หลงทำบาป / หลงผิด | [CHECK] Genesis 3 as an event; ตกสู่ความบาป keeps the fall from a height. PP 63.1, PP 80.3, SC 62.1 |
| unfallen (worlds, universe, beings) | ไม่ได้ตกสู่ความบาป / ไม่เคยทำบาป | [CHECK] Never fell; the Lao GC writes ບໍ່ເຄີຍຕົກສູ່ຄວາມບາບ and ບໍ່ເຄີຍເຮັດບາບ; สวรรค์ may stand, never proposed. MB 104.2, PP 522.2, SC 30.1 |
| sinless (beings, angels, Christ, Adam) | ปราศจากบาป / ไม่มีบาป / ไร้บาป / ไร้ความบาป / ไม่เคยทำบาป | [CHECK] ฮีบรู 4:15 ปราศจากบาป; บริสุทธิ์ may stand where purity is the point, never proposed. PP 331.1, MB 116.1, PP 154.3, PP 69.3, PP 62.3 |
| fallen nature, sinful nature, fallen condition | ธรรมชาติบาป / ธรรมชาติของความบาป / ธรรมชาติแห่งความบาป | [CHECK] Since the Fall; เนื้อหนัง, a description or a recast may stand, never proposed; วิสัยบาป only quoted. PP 80.1, PP 238.2, PP 373.1 |
| justify, justification, Justifier (God's act) | ให้เป็นคนชอบธรรม / ให้เป็นผู้ชอบธรรม / นับเป็นผู้ชอบธรรม / ชำระให้ชอบธรรม / ชำระให้เป็นคนชอบธรรม | [CHECK] God declaring the believer righteous, the versions' verb shapes; แก้ตัว is the excuse sense only. โรม 3:26, SC 14.1, MB 27.2, PP 373.1 |
| cross | ไม้กางเขน / กางเขน | [CHECK] MB 10.1, SC 13.1 |
| angel, angels (of God) | ทูตสวรรค์ / ทูตของพระเจ้า / ทูตแห่งพันธสัญญา / ทูตขององค์พระผู้เป็นเจ้า | [CHECK] ทูตสวรรค์ unmodified; a modifier replaces สวรรค์, as ทูตของพระเจ้า, ทูตมรณะ. MB 106.2, PP 145.3 |
| evil angels, angels of Satan | ทูตของซาตาน / ทูตของมาร / ทูตแห่งความชั่ว / ทูตบริวารของมัน | [CHECK] Never ทูตสวรรค์ for Satan's angels. PP 64.3, MB 29.2 |
| Advocate | ผู้ทูลแก้ต่าง / ผู้ช่วยทูลขอพระบิดา | [CHECK] TNCV and THSV at 1 ยอห์น 2:1. SC 14.3 |
| Son of man | บุตรมนุษย์ | [CHECK] MB 40.2, SC 14.3 |
| holiness | ความบริสุทธิ์ / ชีวิตที่บริสุทธิ์ | [CHECK] MB 10.2, SC 14.3 |
| apostle | อัครทูต | [CHECK] อัครสาวก is the older Bible's word and is not used from now on. MB 137.1 |
| adoration, adore | เคารพบูชา / บูชารัก / เทิดทูนบูชา / บูชา / นมัสการ | [CHECK] Worship may take these too. PP 36.3, PP 91.2, PP 63.3 |
| sons of God, children of God | บุตรของพระเจ้า / บุตรพระเจ้า / ลูกของพระเจ้า / ลูกๆ ของพระเจ้า / ประชากรของพระเจ้า | [CHECK] One form within a book unless the context asks otherwise. MB 10.1, SC 15.1 |
| heavenly King, King of heaven | องค์ราชันแห่งฟ้าสวรรค์ / พระราชาแห่งสวรรค์ / พระมหากษัตริย์แห่งสวรรค์ | [CHECK] SC 15.2, PP 214.1, PP 324.2 |
| redeem, redemption | ทรงไถ่ / ไถ่ / การไถ่ / การทรงไถ่ / ค่าไถ่ / ไถ่บาป | [CHECK] PP 63.2, PP 69.2, PP 63.3, MB 20.1, PP 68.1, PP 137.1 |
| Redeemer | พระผู้ไถ่ / ผู้ทรงไถ่ | [CHECK] MB 14.2, PP 64.3 |
| mission | พันธกิจ / ภารกิจ | [CHECK] พันธกิจ a commission or calling; ภารกิจ a task carried out or an errand. MB 27.2, PP 244.2 |
| wilderness | ถิ่นทุรกันดาร / ถิ่นกันดาร / ป่า | [CHECK] Default ถิ่นทุรกันดาร; ป่า where the English means wild country. PP 248.3, PP 379.1, PP 453.3 |
| mercy | พระเมตตา / ความเมตตา / เมตตา / พระเมตตากรุณา / เมตตากรุณา / พระกรุณา / ความกรุณา | [CHECK] PP's order of use; พระ forms for God's mercy. PP 39.1, PP 41.1, PP 35.3, PP 469.2, PP 162.1, PP 167.2, PP 664.1 |
| kindness | ความรักมั่นคง / ความเมตตา / ความกรุณา / ความเมตตากรุณา / มีน้ำใจ | [CHECK] ความรักมั่นคง in quotations for God's loving-kindness; มีน้ำใจ for goodwill between people. PP 107.2, PP 134.2, PP 519.5, MB 44.4, PP 714.2 |
| loving-kindness (of God) | ความรักมั่นคง | [CHECK] The Bible's word for God's steadfast love; kept apart from kindness. SC 19.1, PP 107.2 |
| kingdom of God, kingdom of heaven | แผ่นดินของพระเจ้า / แผ่นดินสวรรค์ / อาณาจักรของพระเจ้า | [CHECK] Default แผ่นดิน; อาณาจักร may stand; quotations follow their version (TH1971, THSV แผ่นดิน; TKJV, TNCV อาณาจักร). MB 98.2, MB 2.2, SC 18.2 |
| Source (divine title) | แหล่ง / บ่อเกิด / ที่มา | [CHECK] Usually พระเจ้าผู้ทรงเป็น + form + what He is Source of; the object never enters. MB 41.1, PP 610.3, PP 717.2, SC 20.1 |
| communion (with God), commune | การสื่อสัมพันธ์ / สามัคคีธรรม / สนทนา / ความสนิทสนม / เข้าเฝ้า / ความสัมพันธ์ / สายสัมพันธ์ / สื่อสาร | [CHECK] Defaults การสื่อสัมพันธ์ and สามัคคีธรรม; สนทนา for pictured talk; ใช้เวลากับ, ติดสนิท, สัมพันธไมตรี stand, never proposed. SC 85.1, MB 20.1, PP 329.5, SC 22.1 |
| merits (of Christ), His merits | คุณความดี | [CHECK] Christ's worth pleaded for us; never พระคุณความดี, it reads as grace; never บารมี, the majesty word. PP 353.3, SC 35.4, SC 95.3 |
| unrenewed heart, unrenewed nature | จิตใจที่ยังไม่ได้บังเกิดใหม่ / จิตใจที่ยังไม่ได้รับการสร้างใหม่ | [CHECK] The unregenerate heart; ทิตัส 3:5 pairs บังเกิดใหม่ with สร้างใหม่; ฟื้นฟู reads as revival. PP 465.1, SC 17.2 |
| type, figure, symbol (pointing to a spiritual reality) | สัญลักษณ์ / สัญลักษณ์ที่เล็งถึง / เล็งถึง / เงาสัญลักษณ์ / ตัวอย่าง / ภาพ / เครื่องหมาย / เปรียบเทียบ | [CHECK] Type สัญลักษณ์ที่เล็งถึง or เล็งถึง; teaching figure ตัวอย่าง or ภาพ; symbol สัญลักษณ์; never แบบอย่าง. 1 เปโตร 3:21, MB 50.2, MB 138.2, PP 120.3, PP 330.4, SC 19.2 |
| intercession, intercede, Intercessor | วิงวอน / วิงวอนแทน / ผู้วิงวอนแทน / อ้อนวอน / ทูลขอ / อธิษฐานเผื่อ / อธิษฐานขอ / ร้องทูล | [CHECK] Pleading for another; แทน or เพื่อ names the beneficiary; never ไกล่เกลี่ย or คนกลาง, the mediator words. See Advocate. ฮีบรู 7:25, PP 140.2, SC 54.3 |
| the wicked | คนอธรรม / คนชั่ว | [CHECK] The class against the righteous; คนอธรรม majority form, คนชั่ว wicked men; never คนบาป, the sinner. MB 26.1, MB 151.2, SC 17.2 |
| the gulf (that sin has made) | หุบเหวแห่งความบาป / เหวลึกแห่งความบาป | The chasm between man and God. SC 20.1, PP 184.2 |
| ministry of angels | ความช่วยเหลือของเหล่าทูตสวรรค์ / การปรนนิบัติของเหล่าทูตสวรรค์ / การปรนนิบัติรับใช้ของเหล่าทูตสวรรค์ / การรับใช้ของเหล่าทูตสวรรค์ | [CHECK] The service angels render to men. MB 110.2, SC 21.2, ฮีบรู 1:14 |
| ministering angels | ทูตสวรรค์ผู้ปรนนิบัติ / ทูตสวรรค์ผู้รับใช้ / ทูตสวรรค์ผู้ปรนนิบัติรับใช้ / ทูตสวรรค์ปรนนิบัติรับใช้ / ทูตสวรรค์ | Servant angels, ฮีบรู 1:14; เหล่า may precede; bare ทูตสวรรค์ stands where the verb carries the helping. SC 22.1, SC 21.2, PP 184.2 |
| recompense (reward, pay) | ตอบแทน / การตอบแทน / บำเหน็จ / ค่าแรง | Reward or wages, not retribution; a recast stands. MB 81.2, MB 111.1, PP 281.3 |
| retribution (God's just repayment of sin) | การลงโทษ / ลงโทษ / รับโทษ / โทษทัณฑ์ / ลงโทษสนอง / การพิพากษาลงโทษ / พระพิโรธ / ตอบแทน | [CHECK] Never กรรม or ผลกรรม, which read as karma; การแก้แค้น stands quoted, human, denied; never proposed. PP 461.1, PP 628.1, SC 21.4, โรม 12:19 |
| vengeance (God's) | พระพิโรธ / การลงโทษ / พระอาชญา / ลงพระอาชญา | [CHECK] God's vengeance in prose, the versions' words at โรม 12:19; การแก้แค้น only inside its quotation. PP 87.1, PP 157.4, โรม 12:19 |
| vengeance, revenge (human) | การแก้แค้น / แก้แค้น | [CHECK] Man's revenge; never for God outside a quotation. PP 47.3, PP 628.1 |
| repentance, repent | การกลับใจ / กลับใจ / กลับใจใหม่ | [CHECK] The versions' word, กิจการ 2:38 กลับใจใหม่; กลับตัวกลับใจ and กลับเนื้อกลับตัว stand, never proposed. MB 87.3, PP 78.1, SC 23.2 |
| defilement, defile, pollution (of sin) | มลทิน / มลทินบาป / รอยมลทิน / แปดเปื้อน / เปรอะเปื้อน | [CHECK] Sin's soiling of the soul; Levitical uncleanness follows its version. MB 2.1, PP 303.5, MB 59.2, SC 24.3 |
| impurity, impure | ไม่บริสุทธิ์ / มลทิน | [CHECK] MB 60.1, PP 308.7, SC 29.1 |
| stain, spot (of sin) | จุดด่างพร้อย / ด่างพร้อย / รอยมลทิน | MB 32.2, SC 28.3, PP 722.4 |
| Searcher of hearts | พระเจ้าผู้ทรงชันสูตรจิตใจ / ผู้ทรงชันสูตรใจมนุษย์ | THSV's word at โรม 8:27; TKJV writes ตรวจค้น; MB and PP have no site for the title. SC 24.2, SC 34.3 |
| birthright | สิทธิบุตรหัวปี / สิทธิของบุตรหัวปี | [CHECK] THSV at ปฐมกาล 25:34 and ฮีบรู 12:16. PP 177.3, PP 178.3 |
| Holy One of Israel | องค์บริสุทธิ์ของอิสราเอล / องค์บริสุทธิ์แห่งอิสราเอล | [CHECK] Prose ของ; THSV writes ของ 25 times, แห่ง 5; quotations follow their version. SC 24.1, MB 64.1, PP 360.2 |
| Lamb of God | ลูกแกะของพระเจ้า | [CHECK] Prose and TCV's ยอห์น 1:29; the other versions' พระเมษโปดก stands inside their quotations. MB 1.3, SC 19.1, PP 63.3 |
| plan of salvation | แผนการช่วยมนุษย์ให้รอด / แผนการแห่งความรอด | [CHECK] PP 63.3, PP 66.1, SC 27.2 |
| plan of redemption | แผนการทรงไถ่ / แผนการไถ่ / แผนการช่วยมนุษย์ให้รอด | [CHECK] MB 43.2, PP 63.3, SC 79.1 |
| broken cisterns | บ่อน้ำรั่ว | TNCV's word at เยเรมีย์ 2:13; THSV writes บ่อแตก, TH1971 แอ่งแตก; MB and PP have no site. SC 28.1 |
| water of life, living water | น้ำแห่งชีวิต / น้ำที่ให้ชีวิต / น้ำดำรงชีวิต | [CHECK] All versions at วิวรณ์ 22:17; น้ำดำรงชีวิต is THSV at ยอห์น 4:10 and 7:38. MB 20.1, SC 28.1, PP 411.3 |
| fountain of life | น้ำพุแห่งชีวิต / บ่อน้ำพุแห่งชีวิต | MB 61.2, MB 16.2, PP 413.1 |
| conscience | จิตสำนึก / จิตสำนึกผิดชอบ / ความรู้สึกผิดชอบชั่วดี / มโนธรรม | [CHECK] Default จิตสำนึก, TNCV's word; มโนธรรม, THSV's, only where nothing else fits; never จิตใต้สำนึก. SC 26.2, SC 49.1, MB 123.3 |
| penitent, penitence | สำนึกผิด | [CHECK] Regret for sin felt and shown; ถ่อมใจ only where humiliation is paired; กลับใจ stands where found. MB 84.4, PP 357.6, SC 52.2 |
| contrition, contrite | สำนึกผิด / ใจที่แตกสลาย / เศร้าเสียใจ / ชอกช้ำ / ฟกช้ำ | [CHECK] Heart crushed by sin, สดุดี 51:17 THSV; MB writes เศร้าเสียใจ, TH1971 ชอกช้ำ, ฟกช้ำ. MB 53.2, SC 26.1, MB 130.2, MB 11.2 |
| conviction of sin, convicted of sin, convince of sin | สำนึกในความบาป / สำนึกผิด | [CHECK] The Spirit showing sin, ยอห์น 16:8; สำนึกในบาป, สำนึกถึงความบาป stand; รู้สึกผิด is guilt, never here. MB 7.2, SC 23.1, SC 35.2 |
| sorrow for sin, godly sorrow | ความเศร้าเสียใจเพราะบาป / เสียใจต่อบาป | เพราะ marks the cause, ต่อ the object; both stand; 2 โครินธ์ 7:10 ความเสียใจ. MB 9.2, PP 557.2, SC 24.3 |
| reform, reformation (a person amends his life) | กลับตัว / ปรับปรุงตัว / ปฏิรูปตนเอง / แก้ไขความประพฤติ / ปรับปรุงแก้ไข / เปลี่ยนแปลงตัวเอง | [CHECK] ปรับเปลี่ยนพฤติกรรม, ปรับปรุงชีวิต, การเปลี่ยนแปลงในชีวิต stand when found. SC 27.1, PP 92.2, PP 209.2, PP 643.1 |
| reform, reformation, reformers (a people, a church, the Reformation) | ปฏิรูป / การปฏิรูป / นักปฏิรูป | [CHECK] Collective or institutional reform, as the Thai Bible headings use it of kings. PP 404.3, PP 524.1, PP 574.3, PP 143.2 |
| virtue (power going out from Christ) | ฤทธิ์ / ฤทธิ์อำนาจ | [CHECK] ฤทธิ์ซ่านออกจาก as มาระโก 5:30; พลัง stands where found. SC 26.2, MB 4.2, PP 430.2 |
| virtue (efficacy of the atonement) | คุณความดี | [CHECK] See merits; no พระ, the possessor is the atonement; คุณประโยชน์ stands where found. PP 349.2, PP 431.1, PP 277.1 |
| pride, proud | หยิ่ง / เย่อหยิ่ง / หยิ่งยโส / ยโสโอหัง / หยิ่งผยอง / จองหอง / ทะนงตัว | [CHECK] The sin; ภาคภูมิใจ for honest pride stands, never proposed. MB 141.3, MB 7.1, MB 69.2, SC 45.2, PP 145.2, PP 124.2, สุภาษิต 16:18 |
| form of godliness, nominal religion | นับถือศาสนาแต่เปลือกนอก / ถือศาสนาแต่เปลือกนอก / ทางพระเจ้าเพียงเปลือกนอก / คริสต์ศาสนาแต่เพียงในนาม / คริสเตียนแต่ในนาม / ความเชื่อแต่เพียงในนาม | [CHECK] 2 ทิโมธี 3:5; prose นับถือศาสนาแต่เปลือกนอก; GC writes คริสต์ศาสนาแต่เพียงในนาม; quotations follow their version. PP 102.2, SC 35.1, PP 317.2, PP 584.2 |
| intellectual religion, religion of the intellect | นับถือศาสนาแต่ในความคิด / นับถือศาสนาแต่ในสมอง / ในลักษณะของทฤษฎี | Head against heart; the corpus has no site. SC 35.1 |
| self-esteem (conceit) | ทะนงตัว / ถือตัว | [CHECK] Thinking highly of oneself, โรม 12:3; never ภาคภูมิใจในตนเอง, the modern positive sense. PP 419.1, SC 29.3 |
| self-exaltation | ยกย่องตนเอง / ยกตัวเองขึ้น / ยกตนข่มท่าน / แสวงหาเกียรติใส่ตนเอง | [CHECK] ลูกา 14:11 ยกตัวขึ้น; ยกตนข่มท่าน where others are put down; a recast stands. MB 17.2, PP 123.1, MB 128.2, SC 63.1 |
| self-righteousness, self-righteous | ยกย่องตัวเองว่าชอบธรรม / ยกยอตนเองว่าเป็นคนชอบธรรม / เชื่อมั่นในตัวเองว่าเป็นคนชอบธรรม / ความชอบธรรมของตนเอง | [CHECK] A description built on ชอบธรรม, ลูกา 18:9; never a bare pride word. MB 127.2, SC 30.2, PP 139.3 |
| professed Christians, profession (of religion, of Christ), mere profession | อ้างตัวว่าเป็นคริสเตียน / อ้างตัวเป็นคริสเตียน / ได้ชื่อว่าเป็นคริสเตียน / อ้างว่าตนเป็น / ประกาศตนว่าเชื่อ | [CHECK] อ้างตัว the published default; ได้ชื่อว่า softer, stands; ทิตัส 1:16 TNCV อ้างว่า. PP 144.3, PP 175.3, MB 146.2, SC 32.1, SC 44.2 |
| God's throne, His throne, the throne (of heaven) | พระที่นั่ง / พระบัลลังก์ | [CHECK] Quotations follow the version; บัลลังก์ stands when found, never proposed. MB 140.3, MB 106.2, SC 35.4 |
| throne of grace | พระที่นั่งแห่งพระคุณ | [CHECK] THSV, TH1971, TKJV ฮีบรู 4:16; TNCV พระบัลลังก์แห่งพระคุณ; never พระที่นั่งกรุณา, the mercy seat. SC 98.3 |
